threshold,strategy,net_benefit
0.16,HOSPITAL,0.08901785714285713
0.17,treat_none,0.0
0.17,treat_all,0.11596385542168672
0.17,tabular_only,0.11596385542168672
0.17,fixed_weight,0.11637801204819279
0.17,learned_gate,0.11596385542168672
0.17,LACE,0.1036972891566265
0.17,HOSPITAL,0.0856024096385542
0.18000000000000002,treat_none,0.0
0.18000000000000002,treat_all,0.10518292682926825
0.18000000000000002,tabular_only,0.10518292682926825
0.18000000000000002,fixed_weight,0.10599085365853658
0.18000000000000002,learned_gate,0.10518292682926825
0.18000000000000002,LACE,0.09705792682926828
0.18000000000000002,HOSPITAL,0.08210365853658536
0.19,treat_none,0.0
0.19,treat_all,0.0941358024691358
0.19,tabular_only,0.0941358024691358
0.19,fixed_weight,0.09567129629629631
0.19,learned_gate,0.0941358024691358
0.19,LACE,0.09025462962962964
0.19,HOSPITAL,0.063070987654321
0.2,treat_none,0.0
0.2,treat_all,0.08281249999999998
0.2,tabular_only,0.08281249999999998
0.2,fixed_weight,0.08437500000000003
0.2,learned_gate,0.08281249999999998
0.2,LACE,0.08328125
0.2,HOSPITAL,0.06109375
0.21000000000000002,treat_none,0.0
0.21000000000000002,treat_all,0.07120253164556958
0.21000000000000002,tabular_only,0.07120253164556958
0.21000000000000002,fixed_weight,0.07414556962025318
0.21000000000000002,learned_gate,0.07120253164556958
0.21000000000000002,LACE,0.07223101265822784
0.21000000000000002,HOSPITAL,0.05906645569620253
0.22,treat_none,0.0
0.22,treat_all,0.05929487179487178
0.22,tabular_only,0.05929487179487178
0.22,fixed_weight,0.062259615384615385
0.22,learned_gate,0.05929487179487178
0.22,LACE,0.06618589743589745
0.22,HOSPITAL,0.05698717948717949
0.23,treat_none,0.0
0.23,treat_all,0.04707792207792208
0.23,tabular_only,0.04707792207792208
0.23,fixed_weight,0.051112012987012956
0.23,learned_gate,0.0466396103896104
0.23,LACE,0.05998376623376625
0.23,HOSPITAL,0.054853896103896106
0.24000000000000002,treat_none,0.0
0.24000000000000002,treat_all,0.03453947368421048
0.24000000000000002,tabular_only,0.03473684210526312
0.24000000000000002,fixed_weight,0.03851973684210522
0.24000000000000002,learned_gate,0.03490131578947367
0.24000000000000002,LACE,0.05361842105263158
0.24000000000000002,HOSPITAL,0.052664473684210525
0.25,treat_none,0.0
0.25,treat_all,0.021666666666666667
0.25,tabular_only,0.021874999999999978
0.25,fixed_weight,0.026041666666666685
0.25,learned_gate,0.022083333333333344
0.25,LACE,0.04708333333333335
0.25,HOSPITAL,0.05041666666666667
0.26,treat_none,0.0
0.26,treat_all,0.008445945945945887
0.26,tabular_only,0.008885135135135114
0.26,fixed_weight,0.013108108108108057
0.26,learned_gate,0.010962837837837858
0.26,LACE,0.04037162162162164
0.26,HOSPITAL,0.04810810810810811
0.27,treat_none,0.0
0.27,treat_all,-0.0051369863013698835
0.27,tabular_only,-0.004375000000000018
0.27,fixed_weight,0.0005650684931506333
0.27,learned_gate,0.001883561643835574
0.27,LACE,0.03530821917808219
0.27,HOSPITAL,0.036566780821917805
0.28,treat_none,0.0
0.28,treat_all,-0.019097222222222265
0.28,tabular_only,-0.016319444444444497
0.28,fixed_weight,-0.012256944444444529
0.28,learned_gate,-0.002881944444444451
0.28,LACE,0.030694444444444427
0.28,HOSPITAL,0.035104166666666665
0.29000000000000004,treat_none,0.0
0.29000000000000004,treat_all,-0.03345070422535218
0.29000000000000004,tabular_only,-0.029198943661971843
0.29000000000000004,fixed_weight,-0.025325704225352186
0.29000000000000004,learned_gate,-0.007702464788732405
0.29000000000000004,LACE,0.025950704225352103
0.29000000000000004,HOSPITAL,0.033600352112676056
0.3,treat_none,0.0
0.3,treat_all,-0.048214285714285765
0.3,tabular_only,-0.04232142857142862
0.3,fixed_weight,-0.0416071428571429
0.3,learned_gate,0.0024999999999999745
0.3,LACE,0.02107142857142856
0.3,HOSPITAL,0.03205357142857143
0.31,treat_none,0.0
0.31,treat_all,-0.06340579710144933
0.31,tabular_only,-0.04797101449275365
0.31,fixed_weight,-0.05144927536231886
0.31,learned_gate,0.004565217391304305
0.31,LACE,0.016050724637681146
0.31,HOSPITAL,0.03046195652173913
0.32,treat_none,0.0
0.32,treat_all,-0.07904411764705888
0.32,tabular_only,-0.0571691176470589
0.32,fixed_weight,-0.06158088235294115
0.32,learned_gate,0.0063235294117647
0.32,LACE,0.010882352941176468
0.32,HOSPITAL,0.028823529411764706
0.33,treat_none,0.0
0.33,treat_all,-0.09514925373134336
0.33,tabular_only,-0.06762126865671647
0.33,fixed_weight,-0.07547574626865675
0.33,learned_gate,0.00374067164179101
0.33,LACE,0.005559701492537289
0.33,HOSPITAL,0.027136194029850742
0.34,treat_none,0.0
0.34,treat_all,-0.11174242424242431
0.34,tabular_only,-0.07554924242424255
0.34,fixed_weight,-0.08619318181818189
0.34,learned_gate,0.009999999999999981
0.34,LACE,0.017556818181818173
0.34,HOSPITAL,0.025397727272727266
0.35000000000000003,treat_none,0.0
0.35000000000000003,treat_all,-0.12884615384615394
